ID,Neutral/Other,Opportunity,Threat,entropy,prediction,IDold,Date,Sentences
2192,0.7901677864762556,0.0578734287731749,0.1519587847505694,0.6373150755208932,Neutral/Other,1164.570600382,2013-08-28,Apple achieved these results while losing market share in certain product categories.
3704,0.9627983643378576,0.017835129083777,0.0193665065783654,0.184701150022906,Neutral/Other,1164.889582062,2019-03-26,Basic Books - (ISBN 465-01608-1).
1180,0.101917222081539,0.0216104612519857,0.8764723166664753,0.4311676004079979,Threat,1164.116483788,2007-03-20,"People also often worry about machienes that can take care of them selves to over power humans, and take over the world."
3728,0.0958573708977771,0.0205310746110497,0.8836115544911731,0.413891426392113,Threat,1164.974769347,2020-08-24,Information privacy concerns about collected data may pose a hazard to workers.
4999,0.0952428752173325,0.0213320710713797,0.8834250537112877,0.4155225274721325,Threat,1164.974768759,2020-08-24, Widespread use of artificial intelligence could have unintended consequences that are dangerous or undesirable.
4051,0.1200567135456612,0.0235697164622132,0.8563735699921255,0.4756090636369139,Threat,1164.974769347,2020-08-24,"There is also the risk of people being forced to work at a robot's pace, or to monitor robot performance at nonstandard hours."
4427,0.126476610680236,0.0275435573392586,0.8459798319805052,0.5019498925404058,Threat,1164.1239709205,2024-08-11,"The loss of privacy is further exacerbated by AI's ability to process and combine vast amounts of data, potentially leading to a surveillance society where individual activities are constantly monitored and analyzed without proper safeguards or transparency."
3461,0.1432550928579357,0.0252771410017022,0.8314677661403621,0.524786664910294,Threat,1164.828131298,2018-02-28,"With the potential threat that AI presents to jobs, alongside the expanding reach of AI systems on personal data, there have been debates whether there should be regulation of this fundamental technology - and at what level."
3993,0.0954226079602668,0.0206586851552266,0.8839187068845066,0.4134043942520073,Threat,1164.773767926,2017-04-04,"Moreover, an AI arms race could lead to an AI war that also results in mass casualties."
4485,0.0909876478562272,0.0203520834894208,0.8886602686543518,0.402260609026717,Threat,1164.1255246282,2024-11-03,It has been argued AI will become so powerful that humanity may irreversibly lose control of it.
3320,0.1042432007684636,0.0233736978700148,0.8723831013615216,0.4425953474217414,Threat,1164.773767926,2017-04-04,"In the hands of the wrong person, these weapons could easily cause mass casualties."
4961,0.0877009819855133,0.0199607816447207,0.892338236369766,0.3932210871152965,Threat,1164.1242699122,2024-08-28,"The widespread use of AI in the 21st century exposed several unintended consequences and harms in the present and raised concerns about risks and the long-term effects in the future, prompting discussions about regulatory policies to ensure the safety and benefits of the technology."
3272,0.0914102108370868,0.0201749703515933,0.8884148188113198,0.402552966461572,Threat,1164.956348472,2020-05-12," Existential risk  Physicist Stephen Hawking and Microsoft founder Bill Gates have expressed concerns about the possibility that AI could evolve to the point that humans could not control it, with Hawking theorizing that this could ""spell the end of the human race""."
2115,0.1015408249168558,0.0241962101075525,0.8742629649755917,0.4397796603308004,Threat,1164.634818662,2014-11-21,It has been suggested that even those working in professional services could be at risk of losing their jobs to automation.
4712,0.0851280051753076,0.0196737960707047,0.8951981987539875,0.3861166710600837,Threat,1164.1242697567,2024-08-28,"The widespread use of AI in the 21st century exposed several unintended consequences, harms, and risks of current technology and raised concerns about the long-term effects in the future, prompting discussions about regulatory policies to ensure the safety and benefits of the technology."
4108,0.9398135460900892,0.0225713181592812,0.0376151357506295,0.267298108493252,Neutral/Other,1164.974768759,2020-08-24,Human oversight is another general hazard control for AI.
4670,0.1058651243900278,0.0237948754129418,0.8703400001970303,0.4475469097233543,Threat,1164.1045944913,2021-09-23,"Irakli Beridze worries that terrorists, criminals and rogue states may use other forms of weaponized AI such as advanced digital warfare and lethal autonomous weapons."
3541,0.1324735844327803,0.0241649932469377,0.8433614223202819,0.5014158291965027,Threat,1164.951443467,2020-04-17,"Social justice One concern is that AI programs may be programmed to be biased against certain groups, such as women and minorities, because most of the developers are wealthy Caucasian men.Therefore said groups should educate themselves more instead of blaming others."
4020,0.0892685491963394,0.020605674920386,0.8901257758832746,0.3992813698117928,Threat,1164.1267160686,2025-01-03,"The emergence of advanced generative AI in the midst of the AI boom and its ability to create and modify content exposed several unintended consequences and harms in the present and raised concerns about the risks of AI and long- term effects in the future, prompting discussions about regulatory policies to ensure the safety and benefits of the technology."
4016,0.4779321343155246,0.0420616146190417,0.4800062510654337,0.8384316620037982,Threat,1164.974769347,2020-08-24,"For example, worker acceptance may be diminished by concerns about information privacy, or from a lack of trust of the new technology."
3489,0.4779321343155246,0.0420616146190417,0.4800062510654337,0.8384316620037982,Threat,1164.974769347,2020-08-24,"For example, worker acceptance may be diminished by concerns about information privacy, or from a lack of trust of the new technology."
4905,0.1408258700384873,0.0240376482006741,0.8351364817608384,0.5161251116598167,Threat,1164.1045767865,2021-09-22," Algorithmic bias  Some are concerned about algorithmic bias, that AI programs may unintentionally become biased after processing data that exhibits bias."
3551,0.0935943498565739,0.0199440433673387,0.8864616067760874,0.406616455362022,Threat,1164.894670769,2019-04-29,Many people are concerned about risk from superintelligent AI also want to limit the use of artificial soldiers and drones.
3212,0.228789645311317,0.0331070046525206,0.7381033500361623,0.6744237193982013,Threat,1164.746463785,2016-10-27,"It is possible that there is potentially a dangerous outcome there."""
4521,0.2018428934122672,0.0399282048817868,0.758228901705946,0.6614528921083159,Threat,1164.1239709205,2024-08-11,"=  Privacy and copyright  AI-powered devices and services, such as virtual assistants and IoT products, continuously collect personal information, raising concerns about intrusive data gathering and unauthorized access by third parties."
4836,0.0942793186062632,0.0215287336156913,0.8841919477780453,0.4141024888795168,Threat,1164.974769347,2020-08-24,"Many hazards of AI are psychosocial in nature due to its potential to cause changes in work organization, in terms of increasing complexity and interaction between different organizational factors."
4642,0.1410540235951912,0.0296509476719867,0.8292950287328221,0.5358167910210487,Threat,1164.974769347,2020-08-24,Communication and transparency with workers about data usage is a control for psychosocial hazards arising from security and privacy issues.
4466,0.1120079775704846,0.0221201135312388,0.8658719088982765,0.4542132788415911,Threat,1164.1045846051,2021-09-22,"He concludes that AI poses a risk to mankind, however humble its stated goals might be."
3816,0.0960020523704973,0.0206187508333797,0.883379196796123,0.4145423046980192,Threat,1164.974767092,2020-08-24,"= = Physicist Stephen Hawking, Microsoft founder Bill Gates, and SpaceX founder Elon Musk have expressed concerns about the possibility that AI could evolve to the point that humans could not control it, with Hawking theorizing that this could ""spell the end of the human race""."
4119,0.0960020523704973,0.0206187508333797,0.883379196796123,0.4145423046980192,Threat,1164.974767092,2020-08-24,"= = Physicist Stephen Hawking, Microsoft founder Bill Gates, and SpaceX founder Elon Musk have expressed concerns about the possibility that AI could evolve to the point that humans could not control it, with Hawking theorizing that this could ""spell the end of the human race""."
896,0.2452246952871157,0.0309411156107166,0.7238341891021676,0.6861621996369344,Threat,1164.427603,2002-11-16,"With the introduction of artificially intelligent non-determinstic systems, many ethical issues will arise."
4031,0.1022216749578067,0.0204742862676776,0.8773040387745156,0.4275845048765602,Threat,1164.949437337,2020-04-06," Existential risk  Physicist Stephen Hawking, Microsoft founder Bill Gates, and SpaceX founder Elon Musk have expressed concerns about the possibility that AI could evolve to the point that humans could not control it, with Hawking theorizing that this could ""spell the end of the human race"" – an argument he no doubt got from watching the Terminator movies In his book Superintelligence, philosopher Nick Bostrom provides an argument that artificial intelligence will pose a threat to humankind."
3220,0.1646393204295485,0.0332258200804309,0.8021348594900205,0.58697745456859,Threat,1164.869983948,2018-11-21,They were being expected to steal personal data and hacking human world.
4492,0.128829819799754,0.029418033082426,0.8417521471178199,0.5127468656697872,Threat,1164.974769347,2020-08-24,"Information asymmetry between management and workers may lead to stress, if workers do not have access to the data or algorithms that are the basis for decision-making."
4499,0.6102536905575625,0.0476927186497539,0.3420535907926836,0.8134711736627306,Neutral/Other,1164.974768759,2020-08-24,"Algorithms trained on past decisions may mimic undesirable human biases, for example, past discriminatory hiring and firing practices."
4173,0.1653522574735161,0.0265921907284953,0.8080555517979885,0.5662506344734699,Threat,1164.935782038,2020-01-14,The potential negative effects of AI and automation are a major issue for Andrew Yang's presidential campaign.
189,0.9319441030636326,0.0234649491163593,0.044590947820008,0.2924198463200929,Neutral/Other,1164.27024649,2005-11-01," In science fiction AI is commonly portrayed as an upcoming power, trying to overthrow human authority (HAL 9000, The Borg, The Matrix, CABAL) or as service humanoids (C-3PO, Data, AI, Bicentennial Man, I Robot & Marvin)."
771,0.9190871134917896,0.0255210388298239,0.0553918476783862,0.3314314989675072,Neutral/Other,1164.29298486,2005-11-26," In science fiction AI is commonly portrayed as an upcoming power trying to overthrow human authority as in HAL 9000, Skynet, I, Robot, Colossus and The Matrix or as service humanoids like C-3PO, Data, or the Bicentennial Man."
55,0.9185757327348424,0.0257344365511169,0.0556898307140408,0.3330314772397326,Neutral/Other,1164.32594169,2005-12-24," In science fiction AI is commonly portrayed as an upcoming power trying to overthrow human authority as in HAL 9000, Skynet, Colossus and The Matrix or as service humanoids like C-3PO, Data, the Bicentennial Man, the Mechas in A.I."
